,precision,recall,f1-score,support
0,0.0,0.0,0.0,2.0
1,0.7777777777777778,0.875,0.8235294117647058,16.0
2,0.0,0.0,0.0,2.0
3,0.6666666666666666,0.5,0.5714285714285714,4.0
4,0.5,0.6666666666666666,0.5714285714285714,3.0
5,0.0,0.0,0.0,6.0
6,0.0,0.0,0.0,7.0
7,0.2857142857142857,0.6666666666666666,0.4,3.0
8,1.0,0.7777777777777778,0.875,18.0
9,0.0,0.0,0.0,2.0
10,0.46938775510204084,1.0,0.6388888888888888,23.0
11,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,5.0
13,0.0,0.0,0.0,2.0
14,1.0,0.1875,0.3157894736842105,16.0
15,0.0,0.0,0.0,4.0
16,0.0,0.0,0.0,2.0
17,0.4,0.9090909090909091,0.5555555555555556,11.0
18,0.6607142857142857,0.9487179487179487,0.7789473684210526,39.0
19,1.0,1.0,1.0,2.0
20,0.0,0.0,0.0,4.0
21,0.0,0.0,0.0,2.0
22,0.0,0.0,0.0,1.0
23,0.7333333333333333,1.0,0.8461538461538461,33.0
24,0.0,0.0,0.0,3.0
25,0.0,0.0,0.0,1.0
26,1.0,0.25,0.4,4.0
27,0.0,0.0,0.0,1.0
28,0.3333333333333333,1.0,0.5,5.0
29,0.0,0.0,0.0,2.0
30,0.5,0.125,0.2,8.0
31,0.0,0.0,0.0,7.0
32,0.9047619047619048,0.7916666666666666,0.8444444444444444,24.0
33,0.0,0.0,0.0,3.0
34,1.0,0.8,0.8888888888888888,5.0
35,1.0,0.5,0.6666666666666666,4.0
36,0.5384615384615384,0.5384615384615384,0.5384615384615384,13.0
37,0.0,0.0,0.0,3.0
38,0.42857142857142855,0.6,0.5,15.0
39,0.875,1.0,0.9333333333333333,7.0
accuracy,0.6273885350318471,0.6273885350318471,0.6273885350318471,0.6273885350318471
macro avg,0.3518430577359149,0.35341370435120434,0.32121291397800683,314.0
weighted avg,0.5686832907260568,0.6273885350318471,0.5554069844756284,314.0
