,precision,recall,f1-score,support
0,1.0,1.0,1.0,2.0
1,1.0,1.0,1.0,16.0
2,1.0,1.0,1.0,2.0
3,1.0,1.0,1.0,4.0
4,1.0,1.0,1.0,3.0
5,1.0,1.0,1.0,6.0
6,1.0,1.0,1.0,7.0
7,1.0,1.0,1.0,3.0
8,1.0,1.0,1.0,18.0
9,1.0,1.0,1.0,2.0
10,1.0,1.0,1.0,23.0
11,1.0,1.0,1.0,2.0
12,1.0,1.0,1.0,5.0
13,1.0,1.0,1.0,2.0
14,1.0,1.0,1.0,16.0
15,1.0,1.0,1.0,4.0
16,1.0,1.0,1.0,2.0
17,1.0,1.0,1.0,11.0
18,1.0,1.0,1.0,39.0
19,1.0,1.0,1.0,2.0
20,0.75,0.75,0.75,4.0
21,1.0,0.5,0.6666666666666666,2.0
22,1.0,1.0,1.0,1.0
23,1.0,1.0,1.0,33.0
24,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
25,0.0,0.0,0.0,1.0
26,1.0,1.0,1.0,4.0
27,1.0,1.0,1.0,1.0
28,0.8333333333333334,1.0,0.9090909090909091,5.0
29,1.0,1.0,1.0,2.0
30,0.8888888888888888,1.0,0.9411764705882353,8.0
31,1.0,1.0,1.0,7.0
32,1.0,1.0,1.0,24.0
33,1.0,1.0,1.0,3.0
34,1.0,1.0,1.0,5.0
35,1.0,1.0,1.0,4.0
36,1.0,1.0,1.0,13.0
37,1.0,1.0,1.0,3.0
38,1.0,1.0,1.0,15.0
39,1.0,1.0,1.0,7.0
accuracy,0.9872611464968153,0.9872611464968153,0.9872611464968153,0.9872611464968153
macro avg,0.9534722222222222,0.9479166666666666,0.9483400178253119,314.0
weighted avg,0.9849610757254069,0.9872611464968153,0.9853764319856488,314.0
