,precision,recall,f1-score,support
0,0.6666666666666666,1.0,0.8,2.0
1,0.9411764705882353,1.0,0.9696969696969697,16.0
2,0.4,1.0,0.5714285714285714,2.0
3,1.0,1.0,1.0,4.0
4,0.75,1.0,0.8571428571428571,3.0
5,1.0,1.0,1.0,6.0
6,1.0,0.7142857142857143,0.8333333333333334,7.0
7,1.0,1.0,1.0,3.0
8,1.0,1.0,1.0,18.0
9,0.3333333333333333,0.5,0.4,2.0
10,0.9090909090909091,0.8695652173913043,0.8888888888888888,23.0
11,0.6666666666666666,1.0,0.8,2.0
12,0.6666666666666666,0.4,0.5,5.0
13,1.0,1.0,1.0,2.0
14,0.8823529411764706,0.9375,0.9090909090909091,16.0
15,1.0,1.0,1.0,4.0
16,1.0,1.0,1.0,2.0
17,0.9166666666666666,1.0,0.9565217391304348,11.0
18,0.9069767441860465,1.0,0.9512195121951219,39.0
19,1.0,1.0,1.0,2.0
20,1.0,1.0,1.0,4.0
21,1.0,0.5,0.6666666666666666,2.0
22,0.0,0.0,0.0,1.0
23,0.9428571428571428,1.0,0.9705882352941176,33.0
24,1.0,0.3333333333333333,0.5,3.0
25,0.0,0.0,0.0,1.0
26,1.0,0.5,0.6666666666666666,4.0
27,1.0,1.0,1.0,1.0
28,0.7142857142857143,1.0,0.8333333333333334,5.0
29,1.0,0.5,0.6666666666666666,2.0
30,1.0,0.75,0.8571428571428571,8.0
31,1.0,0.8571428571428571,0.9230769230769231,7.0
32,1.0,0.9166666666666666,0.9565217391304348,24.0
33,1.0,1.0,1.0,3.0
34,1.0,1.0,1.0,5.0
35,1.0,1.0,1.0,4.0
36,1.0,1.0,1.0,13.0
37,1.0,0.6666666666666666,0.8,3.0
38,0.9375,1.0,0.967741935483871,15.0
39,1.0,1.0,1.0,7.0
accuracy,0.9235668789808917,0.9235668789808917,0.9235668789808917,0.9235668789808917
macro avg,0.865855998054613,0.8361290113871636,0.8311431951092155,314.0
weighted avg,0.9299549961983956,0.9235668789808917,0.9184481322085661,314.0
